ProjectURL,Title,Description,APIsUsed (a.k.a. npm dependencies used),Tags/keywords for the projects
https://libraries.io/npm/enhanced-resolve,enhanced-resolve,Offers a async require.resolve function. It's highly configurable,graceful-fs|||tapable,fs||| module||| reading||| retry||| retries||| queue||| error||| errors||| handling||| EMFILE||| EAGAIN||| EINVAL||| EPERM||| EACCESS
https://libraries.io/npm/lcid,lcid,Mapping between standard locale identifiers and Windows locale identifiers (LCID),invert-kv,lcid||| locale||| string||| id||| identifier||| windows||| language||| lang||| map||| mapping||| convert||| json||| bcp47||| ietf||| tag
https://libraries.io/npm/caller-path,caller-path,Get the path of the caller function,caller-callsite,caller||| calling||| module||| path||| parent||| callsites||| callsite||| stacktrace||| stack||| trace||| function||| file
https://libraries.io/npm/osenv,osenv,Look up environment settings specific to different operating systems,os-homedir|||os-tmpdir,environment||| variable||| home||| tmpdir||| path||| prompt||| ps1
https://libraries.io/npm/stream-browserify,stream-browserify,the stream module from node core for browsers,inherits|||readable-stream,stream||| browser||| browserify
https://libraries.io/npm/is-glob,is-glob,"Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a bet",is-extglob,bash||| braces||| check||| exec||| expression||| extglob||| glob||| globbing||| globstar||| is||| match||| matches||| pattern||| regex||| regular||| string||| test||| glob-pattern||| javascript||| matching||| node||| node-glob||| nodejs||| regexp
https://libraries.io/npm/timers-browserify,timers-browserify,Timers module for browserify,setimmediate,timers||| browserify||| browser
https://libraries.io/npm/are-we-there-yet,are-we-there-yet,Keep track of the overall completion of many disparate processes,delegates|||readable-stream,readable||| stream||| pipe||| node||| nodejs
https://libraries.io/npm/schema-utils,schema-utils,webpack Validation Utils,ajv|||ajv-keywords,webpack||| ajv||| schema||| schema-utils||| validation||| validator
https://libraries.io/npm/load-json-file,load-json-file,Read and parse a JSON file,graceful-fs|||parse-json|||strip-bom|||type-fest,read||| json||| parse||| file||| fs||| graceful||| load
https://libraries.io/npm/array-includes,array-includes,An ES7/ES2016 spec-compliant `Array.prototype.includes` shim/polyfill/replacement that works as far down as ES3.,define-properties|||es-abstract|||is-string,Array.prototype.includes||| includes||| array||| ES7||| shim||| polyfill||| contains||| Array.prototype.contains||| es-shim API
https://libraries.io/npm/write-file-atomic,write-file-atomic,Write files in an atomic fashion w/configurable ownership,imurmurhash|||is-typedarray|||signal-exit|||typedarray-to-buffer,writeFile||| atomic
https://libraries.io/npm/pinkie-promise,pinkie-promise,ES2015 Promise ponyfill,pinkie,promise||| promises||| es2015||| es6||| polyfill||| ponyfill
https://libraries.io/npm/babel-helper-define-map,babel-helper-define-map,Helper function to define a map,babel-helper-function-name|||babel-types|||lodash,
https://libraries.io/npm/diffie-hellman,diffie-hellman,pure js diffie-hellman,bn.js|||miller-rabin|||randombytes,diffie||| hellman||| diffiehellman||| dh
https://libraries.io/npm/raw-body,raw-body,Get and validate the raw body of a readable stream.,bytes|||http-errors|||iconv-lite|||unpipe,"
body||| http||| javascript||| nodejs||| parser||| stream"
https://libraries.io/npm/is-binary-path,is-binary-body,Check if a file path is a binary file,binary-extensions,binary||| extensions||| extension||| file||| path||| check||| detect||| is
https://libraries.io/npm/css-select,css-select,A CSS selector compiler/engine,boolbase|||css-what|||domutils|||nth-check,css||| selector||| sizzle||| css-selector||| cssselect||| dom||| dom-structure||| html||| javascript
https://libraries.io/npm/sockjs-client,sockjs-client,SockJS-client is a browser JavaScript library that provides a WebSocket-like object.,debug|||eventsource|||faye-websocket|||inherits|||json3|||url-parse,websockets||| websocket||| javascript||| real-time||| sockjs
https://libraries.io/npm/evp_bytestokey,evp_bytestokey,The insecure key derivation algorithm from OpenSSL,md5.js|||safe-buffer,crypto||| openssl||| javascript
https://libraries.io/npm/has-symbols,has-symbols,"Determine if the JS environment has Symbol support. Supports spec, or shams.",,Symbol||| symbols||| typeof||| sham||| polyfill||| native||| core-js||| ES6
https://libraries.io/npm/is-svg,is-svg,Check if a string or buffer is SVG,html-comment-regex,svg||| vector||| graphics||| image||| img||| pic||| picture||| type||| detect||| check||| is||| string||| str||| buffer
https://libraries.io/npm/copy-concurrently,copy-concurrently,"Promises of copies of files, directories and symlinks, with concurrency controls and win32 junction fallback.",aproba|||fs-write-stream-atomic|||iferr|||mkdirp|||rimraf|||run-queue,copy||| cpr
https://libraries.io/npm/errno,errno,libuv errno details exposed,prr,errors||| errno||| libuv
